Stock,Expiration,Underlying,Strike,Call,Put,Time_to_Exp(yrs),Theoretical,Market,Parity_Diff,Arbitrage
AAPL,2025-04-11,203.19000244140625,202.5,6.03,5.4,0.016,0.86,0.63,-0.23,No Arbitrage
AAPL,2025-04-17,203.19000244140625,202.5,7.3,6.56,0.033,1.02,0.74,-0.28,No Arbitrage
AAPL,2025-04-25,203.19000244140625,205.0,7.4,8.74,0.055,-1.25,-1.34,-0.09,No Arbitrage
AAPL,2025-05-02,203.19000244140625,205.0,9.15,10.01,0.074,-1.05,-0.86,0.19,No Arbitrage
AAPL,2025-05-09,203.19000244140625,200.0,12.25,8.55,0.093,4.12,3.7,-0.42,No Arbitrage
AAPL,2025-05-16,203.19000244140625,205.0,10.28,11.61,0.112,-0.66,-1.33,-0.67,Arbitrage Opportunity
AAPL,2025-06-20,203.19000244140625,205.0,13.15,13.5,0.208,0.31,-0.35,-0.66,Arbitrage Opportunity
AAPL,2025-07-18,203.19000244140625,205.0,15.15,14.4,0.285,1.09,0.75,-0.34,No Arbitrage
AAPL,2025-08-15,203.19000244140625,205.0,16.59,16.0,0.362,1.86,0.59,-1.27,Arbitrage Opportunity
AAPL,2025-09-19,203.19000244140625,205.0,18.3,17.0,0.458,2.83,1.3,-1.53,Arbitrage Opportunity
AAPL,2025-10-17,203.19000244140625,205.0,19.9,18.35,0.534,3.59,1.55,-2.04,Arbitrage Opportunity
AAPL,2025-12-19,203.19000244140625,205.0,23.25,20.2,0.707,5.31,3.05,-2.26,Arbitrage Opportunity
AAPL,2026-01-16,203.19000244140625,205.0,24.5,20.81,0.784,6.07,3.69,-2.38,Arbitrage Opportunity
AAPL,2026-03-20,203.19000244140625,200.0,29.5,19.79,0.956,12.53,9.71,-2.82,Arbitrage Opportunity
AAPL,2026-06-18,203.19000244140625,205.0,30.8,23.54,1.203,10.15,7.26,-2.89,Arbitrage Opportunity
AAPL,2026-12-18,203.19000244140625,200.0,38.9,25.65,1.704,19.53,13.25,-6.28,Arbitrage Opportunity
AAPL,2027-01-15,203.19000244140625,200.0,40.0,25.35,1.781,20.23,14.65,-5.58,Arbitrage Opportunity
AAPL,2027-06-17,203.19000244140625,200.0,43.22,27.8,2.2,24.02,15.42,-8.6,Arbitrage Opportunity
AAPL,2027-12-17,203.19000244140625,205.0,44.7,31.53,2.701,24.09,13.17,-10.92,Arbitrage Opportunity
GOOG,2025-04-11,152.6300048828125,152.5,4.05,3.65,0.016,0.26,0.4,0.14,No Arbitrage
GOOG,2025-04-17,152.6300048828125,152.5,5.1,4.45,0.033,0.38,0.65,0.27,No Arbitrage
GOOG,2025-04-25,152.6300048828125,155.0,5.25,6.95,0.055,-1.95,-1.7,0.25,No Arbitrage
GOOG,2025-05-02,152.6300048828125,155.0,6.8,8.3,0.074,-1.8,-1.5,0.3,No Arbitrage
GOOG,2025-05-09,152.6300048828125,155.0,7.25,8.96,0.093,-1.65,-1.71,-0.06,No Arbitrage
GOOG,2025-05-16,152.6300048828125,155.0,7.73,9.33,0.112,-1.5,-1.6,-0.1,No Arbitrage
GOOG,2025-06-20,152.6300048828125,155.0,9.89,10.65,0.208,-0.76,-0.76,0.0,No Arbitrage
GOOG,2025-07-18,152.6300048828125,155.0,11.23,11.97,0.285,-0.18,-0.74,-0.56,Arbitrage Opportunity
GOOG,2025-08-15,152.6300048828125,155.0,13.7,12.85,0.362,0.41,0.85,0.44,No Arbitrage
GOOG,2025-09-19,152.6300048828125,155.0,14.9,14.29,0.458,1.14,0.61,-0.53,Arbitrage Opportunity
GOOG,2025-10-17,152.6300048828125,155.0,18.55,14.8,0.534,1.72,3.75,2.03,Arbitrage Opportunity
GOOG,2025-11-21,152.6300048828125,155.0,17.75,15.65,0.63,2.44,2.1,-0.34,No Arbitrage
GOOG,2025-12-19,152.6300048828125,155.0,18.45,16.05,0.707,3.01,2.4,-0.61,Arbitrage Opportunity
GOOG,2026-01-16,152.6300048828125,155.0,19.75,17.0,0.784,3.59,2.75,-0.84,Arbitrage Opportunity
GOOG,2026-03-20,152.6300048828125,155.0,22.1,18.6,0.956,4.87,3.5,-1.37,Arbitrage Opportunity
GOOG,2026-06-18,152.6300048828125,155.0,25.14,20.0,1.203,6.68,5.14,-1.54,Arbitrage Opportunity
GOOG,2026-12-18,152.6300048828125,155.0,30.1,22.33,1.704,10.29,7.77,-2.52,Arbitrage Opportunity
GOOG,2027-01-15,152.6300048828125,155.0,30.88,23.8,1.781,10.83,7.08,-3.75,Arbitrage Opportunity
GOOG,2027-12-17,152.6300048828125,155.0,40.7,28.15,2.701,17.21,12.55,-4.66,Arbitrage Opportunity
MSFT,2025-04-11,373.1099853515625,372.5,8.46,7.5,0.016,0.92,0.96,0.04,No Arbitrage
MSFT,2025-04-17,373.1099853515625,372.5,11.25,8.7,0.033,1.22,2.55,1.33,Arbitrage Opportunity
MSFT,2025-04-25,373.1099853515625,375.0,11.1,10.85,0.055,-0.86,0.25,1.11,Arbitrage Opportunity
MSFT,2025-05-02,373.1099853515625,375.0,15.15,14.29,0.074,-0.51,0.86,1.37,Arbitrage Opportunity
MSFT,2025-05-09,373.1099853515625,375.0,16.8,16.0,0.093,-0.15,0.8,0.95,Arbitrage Opportunity
MSFT,2025-05-16,373.1099853515625,375.0,16.75,17.2,0.112,0.21,-0.45,-0.66,Arbitrage Opportunity
MSFT,2025-06-20,373.1099853515625,375.0,21.6,20.5,0.208,1.99,1.1,-0.89,Arbitrage Opportunity
MSFT,2025-07-18,373.1099853515625,375.0,24.9,21.4,0.285,3.41,3.5,0.09,No Arbitrage
MSFT,2025-08-15,373.1099853515625,375.0,29.69,24.65,0.362,4.83,5.04,0.21,No Arbitrage
MSFT,2025-09-19,373.1099853515625,370.0,34.6,24.65,0.458,11.48,9.95,-1.53,Arbitrage Opportunity
MSFT,2025-10-17,373.1099853515625,375.0,34.15,27.5,0.534,7.99,6.65,-1.34,Arbitrage Opportunity
MSFT,2025-12-19,373.1099853515625,375.0,39.25,31.25,0.707,11.13,8.0,-3.13,Arbitrage Opportunity
MSFT,2026-01-16,373.1099853515625,375.0,42.0,32.28,0.784,12.52,9.72,-2.8,Arbitrage Opportunity
MSFT,2026-03-20,373.1099853515625,370.0,48.5,31.51,0.956,20.38,16.99,-3.39,Arbitrage Opportunity
MSFT,2026-06-18,373.1099853515625,375.0,52.45,36.29,1.203,20.0,16.16,-3.84,Arbitrage Opportunity
MSFT,2026-12-18,373.1099853515625,375.0,62.5,42.8,1.704,28.74,19.7,-9.04,Arbitrage Opportunity
MSFT,2027-01-15,373.1099853515625,370.0,67.26,42.5,1.781,34.63,24.76,-9.87,Arbitrage Opportunity
MSFT,2027-06-17,373.1099853515625,370.0,73.85,47.01,2.2,41.65,26.84,-14.81,Arbitrage Opportunity
MSFT,2027-12-17,373.1099853515625,370.0,83.33,49.93,2.701,49.86,33.4,-16.46,Arbitrage Opportunity
AMZN,2025-04-11,178.41000366210938,177.5,5.85,4.95,0.016,1.06,0.9,-0.16,No Arbitrage
AMZN,2025-04-17,178.41000366210938,177.5,6.95,6.06,0.033,1.2,0.89,-0.31,No Arbitrage
AMZN,2025-04-25,178.41000366210938,180.0,6.83,8.23,0.055,-1.1,-1.4,-0.3,No Arbitrage
AMZN,2025-05-02,178.41000366210938,180.0,9.15,10.46,0.074,-0.93,-1.31,-0.38,No Arbitrage
AMZN,2025-05-09,178.41000366210938,180.0,10.19,10.65,0.093,-0.75,-0.46,0.29,No Arbitrage
AMZN,2025-05-16,178.41000366210938,180.0,10.46,11.45,0.112,-0.58,-0.99,-0.41,No Arbitrage
AMZN,2025-06-20,178.41000366210938,180.0,13.18,13.1,0.208,0.27,0.08,-0.19,No Arbitrage
AMZN,2025-07-18,178.41000366210938,180.0,14.8,14.2,0.285,0.96,0.6,-0.36,No Arbitrage
AMZN,2025-08-15,178.41000366210938,180.0,17.45,16.02,0.362,1.64,1.43,-0.21,No Arbitrage
AMZN,2025-09-19,178.41000366210938,180.0,19.0,17.15,0.458,2.48,1.85,-0.63,Arbitrage Opportunity
AMZN,2025-10-17,178.41000366210938,180.0,20.4,17.93,0.534,3.15,2.47,-0.68,Arbitrage Opportunity
AMZN,2025-11-21,178.41000366210938,180.0,22.75,18.8,0.63,3.99,3.95,-0.04,No Arbitrage
AMZN,2025-12-19,178.41000366210938,180.0,23.85,20.2,0.707,4.66,3.65,-1.01,Arbitrage Opportunity
AMZN,2026-01-16,178.41000366210938,180.0,24.79,20.69,0.784,5.33,4.1,-1.23,Arbitrage Opportunity
AMZN,2026-03-20,178.41000366210938,180.0,27.7,22.47,0.956,6.81,5.23,-1.58,Arbitrage Opportunity
AMZN,2026-06-18,178.41000366210938,180.0,31.15,24.4,1.203,8.92,6.75,-2.17,Arbitrage Opportunity
AMZN,2026-12-18,178.41000366210938,180.0,37.97,27.77,1.704,13.11,10.2,-2.91,Arbitrage Opportunity
AMZN,2027-01-15,178.41000366210938,180.0,38.45,28.0,1.781,13.74,10.45,-3.29,Arbitrage Opportunity
AMZN,2027-06-17,178.41000366210938,180.0,43.5,29.1,2.2,17.16,14.4,-2.76,Arbitrage Opportunity
AMZN,2027-12-17,178.41000366210938,180.0,48.7,32.18,2.701,21.15,16.52,-4.63,Arbitrage Opportunity
TSLA,2025-04-11,267.2799987792969,267.5,13.1,13.0,0.016,-0.0,0.1,0.1,No Arbitrage
TSLA,2025-04-17,267.2799987792969,265.0,17.5,14.84,0.033,2.72,2.66,-0.06,No Arbitrage
TSLA,2025-04-25,267.2799987792969,265.0,23.3,20.4,0.055,3.01,2.9,-0.11,No Arbitrage
TSLA,2025-05-02,267.2799987792969,265.0,25.6,21.95,0.074,3.26,3.65,0.39,No Arbitrage
TSLA,2025-05-09,267.2799987792969,265.0,27.6,24.0,0.093,3.51,3.6,0.09,No Arbitrage
TSLA,2025-05-16,267.2799987792969,265.0,29.4,25.6,0.112,3.76,3.8,0.04,No Arbitrage
TSLA,2025-06-20,267.2799987792969,265.0,37.1,31.85,0.208,5.02,5.25,0.23,No Arbitrage
TSLA,2025-07-18,267.2799987792969,265.0,41.9,36.1,0.285,6.03,5.8,-0.23,No Arbitrage
TSLA,2025-08-15,267.2799987792969,265.0,46.3,41.33,0.362,7.03,4.97,-2.06,Arbitrage Opportunity
TSLA,2025-09-19,267.2799987792969,265.0,50.7,44.43,0.458,8.27,6.27,-2.0,Arbitrage Opportunity
TSLA,2025-10-17,267.2799987792969,265.0,56.3,44.8,0.534,9.27,11.5,2.23,Arbitrage Opportunity
TSLA,2025-11-21,267.2799987792969,265.0,59.5,50.61,0.63,10.5,8.89,-1.61,Arbitrage Opportunity
TSLA,2025-12-19,267.2799987792969,270.0,60.39,56.0,0.707,6.66,4.39,-2.27,Arbitrage Opportunity
TSLA,2026-01-16,267.2799987792969,270.0,64.0,57.08,0.784,7.65,6.92,-0.73,Arbitrage Opportunity
TSLA,2026-03-20,267.2799987792969,270.0,70.05,63.05,0.956,9.88,7.0,-2.88,Arbitrage Opportunity
TSLA,2026-06-18,267.2799987792969,270.0,78.7,68.78,1.203,13.04,9.92,-3.12,Arbitrage Opportunity
TSLA,2026-09-18,267.2799987792969,270.0,87.23,74.25,1.455,16.22,12.98,-3.24,Arbitrage Opportunity
TSLA,2026-12-18,267.2799987792969,270.0,94.05,78.7,1.704,19.33,15.35,-3.98,Arbitrage Opportunity
TSLA,2027-01-15,267.2799987792969,270.0,95.1,80.22,1.781,20.28,14.88,-5.4,Arbitrage Opportunity
TSLA,2027-06-17,267.2799987792969,270.0,106.05,85.8,2.2,25.4,20.25,-5.15,Arbitrage Opportunity
META,2025-04-11,531.6199951171875,530.0,17.95,16.5,0.016,2.06,1.45,-0.61,Arbitrage Opportunity
META,2025-04-17,531.6199951171875,530.0,22.0,20.22,0.033,2.49,1.78,-0.71,Arbitrage Opportunity
META,2025-04-25,531.6199951171875,530.0,25.63,22.5,0.055,3.07,3.13,0.06,No Arbitrage
META,2025-05-02,531.6199951171875,530.0,34.84,31.06,0.074,3.58,3.78,0.2,No Arbitrage
META,2025-05-09,531.6199951171875,540.0,32.96,36.75,0.093,-5.87,-3.79,2.08,Arbitrage Opportunity
META,2025-05-16,531.6199951171875,530.0,38.5,34.75,0.112,4.59,3.75,-0.84,Arbitrage Opportunity
META,2025-06-20,531.6199951171875,530.0,46.05,40.46,0.208,7.11,5.59,-1.52,Arbitrage Opportunity
META,2025-07-18,531.6199951171875,530.0,51.27,42.75,0.285,9.12,8.52,-0.6,Arbitrage Opportunity
META,2025-08-15,531.6199951171875,530.0,61.0,49.45,0.362,11.12,11.55,0.43,No Arbitrage
META,2025-09-19,531.6199951171875,530.0,65.9,52.9,0.458,13.61,13.0,-0.61,Arbitrage Opportunity
META,2025-10-17,531.6199951171875,530.0,72.75,54.09,0.534,15.59,18.66,3.07,Arbitrage Opportunity
META,2025-12-19,531.6199951171875,530.0,80.5,61.59,0.707,20.02,18.91,-1.11,Arbitrage Opportunity
META,2026-01-16,531.6199951171875,530.0,83.4,66.1,0.784,21.98,17.3,-4.68,Arbitrage Opportunity
META,2026-03-20,531.6199951171875,530.0,92.6,67.7,0.956,26.36,24.9,-1.46,Arbitrage Opportunity
META,2026-06-18,531.6199951171875,530.0,104.02,79.5,1.203,32.55,24.52,-8.03,Arbitrage Opportunity
META,2026-12-18,531.6199951171875,530.0,128.5,89.75,1.704,44.91,38.75,-6.16,Arbitrage Opportunity
META,2027-01-15,531.6199951171875,530.0,125.9,87.05,1.781,46.77,38.85,-7.92,Arbitrage Opportunity
META,2027-12-17,531.6199951171875,530.0,156.77,107.6,2.701,68.58,49.17,-19.41,Arbitrage Opportunity
NFLX,2025-04-11,917.0499877929688,915.0,26.13,22.65,0.016,2.8,3.48,0.68,Arbitrage Opportunity
NFLX,2025-04-17,917.0499877929688,915.0,45.0,41.34,0.033,3.55,3.66,0.11,No Arbitrage
NFLX,2025-04-25,917.0499877929688,915.0,54.9,42.4,0.055,4.55,12.5,7.95,Arbitrage Opportunity
NFLX,2025-05-02,917.0499877929688,915.0,65.95,52.05,0.074,5.43,13.9,8.47,Arbitrage Opportunity
NFLX,2025-05-09,917.0499877929688,920.0,61.0,59.25,0.093,1.32,1.75,0.43,No Arbitrage
NFLX,2025-05-16,917.0499877929688,915.0,71.75,57.84,0.112,7.17,13.91,6.74,Arbitrage Opportunity
NFLX,2025-06-20,917.0499877929688,920.0,75.0,66.64,0.208,6.58,8.36,1.78,Arbitrage Opportunity
NFLX,2025-07-18,917.0499877929688,920.0,96.75,73.3,0.285,10.06,23.45,13.39,Arbitrage Opportunity
NFLX,2025-08-15,917.0499877929688,915.0,100.4,83.55,0.362,18.45,16.85,-1.6,Arbitrage Opportunity
NFLX,2025-09-19,917.0499877929688,915.0,113.0,89.12,0.458,22.74,23.88,1.14,Arbitrage Opportunity
NFLX,2025-12-19,917.0499877929688,920.0,146.5,107.25,0.707,29.0,39.25,10.25,Arbitrage Opportunity
NFLX,2026-01-16,917.0499877929688,920.0,139.76,114.5,0.784,32.4,25.26,-7.14,Arbitrage Opportunity
NFLX,2026-03-20,917.0499877929688,920.0,161.24,124.67,0.956,40.0,36.57,-3.43,Arbitrage Opportunity
NFLX,2026-06-18,917.0499877929688,920.0,179.55,132.5,1.203,50.75,47.05,-3.7,Arbitrage Opportunity
NFLX,2026-12-18,917.0499877929688,920.0,212.35,138.02,1.704,72.19,74.33,2.14,Arbitrage Opportunity
NFLX,2027-01-15,917.0499877929688,920.0,234.0,160.0,1.781,75.43,74.0,-1.43,Arbitrage Opportunity
NVDA,2025-04-11,101.80000305175781,102.0,3.6,3.65,0.016,-0.12,-0.05,0.07,No Arbitrage
NVDA,2025-04-17,101.80000305175781,101.0,5.05,4.1,0.033,0.97,0.95,-0.02,No Arbitrage
NVDA,2025-04-25,101.80000305175781,102.0,5.5,5.47,0.055,0.08,0.03,-0.05,No Arbitrage
NVDA,2025-05-02,101.80000305175781,102.0,6.3,6.28,0.074,0.18,0.02,-0.16,No Arbitrage
NVDA,2025-05-09,101.80000305175781,102.0,6.9,6.76,0.093,0.27,0.14,-0.13,No Arbitrage
NVDA,2025-05-16,101.80000305175781,100.0,8.55,6.25,0.112,2.36,2.3,-0.06,No Arbitrage
NVDA,2025-06-20,101.80000305175781,102.0,10.44,9.6,0.208,0.86,0.84,-0.02,No Arbitrage
NVDA,2025-07-18,101.80000305175781,100.0,12.8,9.8,0.285,3.21,3.0,-0.21,No Arbitrage
NVDA,2025-08-15,101.80000305175781,100.0,14.2,10.7,0.362,3.59,3.5,-0.09,No Arbitrage
NVDA,2025-09-19,101.80000305175781,102.0,15.39,13.1,0.458,2.11,2.29,0.18,No Arbitrage
NVDA,2025-10-17,101.80000305175781,100.0,17.05,12.85,0.534,4.44,4.2,-0.24,No Arbitrage
NVDA,2025-11-21,101.80000305175781,100.0,18.65,13.92,0.63,4.9,4.73,-0.17,No Arbitrage
NVDA,2025-12-19,101.80000305175781,102.0,18.6,15.8,0.707,3.34,2.8,-0.54,Arbitrage Opportunity
NVDA,2026-01-16,101.80000305175781,102.0,19.3,16.09,0.784,3.72,3.21,-0.51,Arbitrage Opportunity
NVDA,2026-03-20,101.80000305175781,100.0,22.33,16.72,0.956,6.47,5.61,-0.86,Arbitrage Opportunity
NVDA,2026-06-18,101.80000305175781,102.0,24.17,19.15,1.203,5.75,5.02,-0.73,Arbitrage Opportunity
NVDA,2026-09-18,101.80000305175781,100.0,27.38,19.35,1.455,8.82,8.03,-0.79,Arbitrage Opportunity
NVDA,2026-12-18,101.80000305175781,102.0,28.8,22.0,1.704,8.13,6.8,-1.33,Arbitrage Opportunity
NVDA,2027-01-15,101.80000305175781,100.0,30.05,21.55,1.781,10.32,8.5,-1.82,Arbitrage Opportunity
NVDA,2027-12-17,101.80000305175781,100.0,36.73,25.5,2.701,14.43,11.23,-3.2,Arbitrage Opportunity
JPM,2025-04-11,228.69000244140625,227.5,6.72,6.74,0.016,1.38,-0.02,-1.4,Arbitrage Opportunity
JPM,2025-04-17,228.69000244140625,227.5,7.8,7.75,0.033,1.56,0.05,-1.51,Arbitrage Opportunity
JPM,2025-04-25,228.69000244140625,230.0,7.8,9.58,0.055,-0.68,-1.78,-1.1,Arbitrage Opportunity
JPM,2025-05-02,228.69000244140625,230.0,8.59,10.24,0.074,-0.46,-1.65,-1.19,Arbitrage Opportunity
JPM,2025-05-09,228.69000244140625,235.0,7.07,11.5,0.093,-5.22,-4.43,0.79,Arbitrage Opportunity
JPM,2025-05-16,228.69000244140625,230.0,10.05,11.75,0.112,-0.02,-1.7,-1.68,Arbitrage Opportunity
JPM,2025-06-20,228.69000244140625,230.0,13.2,13.65,0.208,1.07,-0.45,-1.52,Arbitrage Opportunity
JPM,2025-07-18,228.69000244140625,230.0,15.0,15.9,0.285,1.94,-0.9,-2.84,Arbitrage Opportunity
JPM,2025-08-15,228.69000244140625,230.0,18.5,16.05,0.362,2.81,2.45,-0.36,No Arbitrage
JPM,2025-09-19,228.69000244140625,230.0,18.85,18.3,0.458,3.89,0.55,-3.34,Arbitrage Opportunity
JPM,2025-10-17,228.69000244140625,230.0,19.9,18.94,0.534,4.75,0.96,-3.79,Arbitrage Opportunity
JPM,2025-12-19,228.69000244140625,230.0,23.4,20.55,0.707,6.68,2.85,-3.83,Arbitrage Opportunity
JPM,2026-01-16,228.69000244140625,230.0,24.1,22.73,0.784,7.53,1.37,-6.16,Arbitrage Opportunity
JPM,2026-03-20,228.69000244140625,230.0,26.5,23.95,0.956,9.43,2.55,-6.88,Arbitrage Opportunity
JPM,2026-06-18,228.69000244140625,230.0,29.21,26.3,1.203,12.11,2.91,-9.2,Arbitrage Opportunity
JPM,2026-12-18,228.69000244140625,230.0,33.68,30.6,1.704,17.48,3.08,-14.4,Arbitrage Opportunity
JPM,2027-01-15,228.69000244140625,230.0,34.7,30.62,1.781,18.28,4.08,-14.2,Arbitrage Opportunity
JPM,2027-12-17,228.69000244140625,230.0,41.25,34.2,2.701,27.75,7.05,-20.7,Arbitrage Opportunity
